cliente_id,idade,renda_mensal,gasto_mensal,frequencia_compra,ticket_medio,tempo_cliente_anos,score_engajamento,canal,regiao,plano,data_cadastro,segmento_latente
107,43.0,5987.6,562.42,6.4,87.57,5.9,17.1,Site,Nordeste,Básico,2026-01-24,Tradicional
108,24.0,5086.63,1018.2,9.5,107.58,0.3,38.3,Loja física,Sul,Premium,2022-06-01,Jovem digital
109,30.0,5752.02,1086.46,10.9,99.79,7.1,40.7,Aplicativo,Sudeste,Premium,2026-04-24,Jovem digital
110,54.0,8818.8,2871.4,8.6,333.2,6.9,26.7,Aplicativo,Nordeste,Premium,2022-11-04,Alto valor
111,35.0,5692.95,627.31,4.7,134.33,8.3,32.9,Aplicativo,Nordeste,VIP,2024-07-05,Tradicional
112,30.0,3706.86,1582.69,13.5,117.67,4.4,33.2,Loja física,Norte,Básico,2026-06-11,Jovem digital
113,24.0,3295.71,1124.9,6.9,163.47,3.0,19.9,Aplicativo,Sul,Básico,2022-07-13,Jovem digital
114,41.0,3190.39,414.89,4.0,102.81,7.8,16.9,Site,Nordeste,Básico,2023-04-16,Tradicional
115,35.0,2607.28,1283.56,7.4,173.53,12.1,53.9,Loja física,Sul,Básico,2025-05-01,Jovem digital
116,58.0,11818.38,3791.0,6.7,562.81,11.2,28.2,Loja física,Nordeste,Premium,2025-09-28,Alto valor
117,25.0,3718.96,905.78,4.5,201.52,5.9,3.3,Site,Sudeste,Premium,2026-02-26,Tradicional
118,41.0,6699.84,1284.57,7.0,182.45,8.2,26.3,Aplicativo,Sudeste,Básico,2022-02-02,Tradicional
119,39.0,6467.25,674.29,8.3,81.44,3.2,32.3,Marketplace,Norte,VIP,2025-07-23,Tradicional
120,52.0,4788.93,673.02,5.2,129.82,6.2,29.2,Site,Nordeste,Básico,2023-06-23,Tradicional
121,36.0,4839.79,912.78,5.5,166.03,1.1,36.0,Site,Sul,Premium,2024-07-21,Tradicional
122,43.0,6638.17,681.47,6.0,113.05,11.6,43.3,Marketplace,Sul,Básico,2026-02-24,Tradicional
123,31.0,5283.03,1827.99,17.5,104.4,9.7,65.7,Aplicativo,Nordeste,Premium,2026-02-17,Jovem digital
124,40.0,8186.54,865.29,6.5,133.65,8.2,22.2,Site,Sudeste,Básico,2022-11-06,Tradicional
125,25.0,4887.11,1231.17,8.9,137.85,5.8,46.8,Aplicativo,Sudeste,VIP,2024-02-26,Jovem digital
126,45.0,8763.4,546.39,3.9,139.68,4.3,13.9,Aplicativo,Sudeste,VIP,2023-04-20,Tradicional
127,18.0,2951.9,1053.75,7.7,136.55,4.2,22.9,Site,Sudeste,Básico,2024-10-25,Jovem digital
128,21.0,3449.79,1118.28,9.1,123.37,9.1,34.8,Loja física,Sudeste,Básico,2025-10-13,Jovem digital
129,34.0,5055.26,1370.62,11.0,124.15,6.8,31.3,Aplicativo,Nordeste,Premium,2023-06-16,Jovem digital
130,41.0,7171.58,723.38,6.1,119.54,6.1,21.7,Loja física,Sudeste,Premium,2022-07-22,Tradicional
131,27.0,2377.93,1457.31,11.5,126.4,1.7,34.8,Loja física,Nordeste,Básico,2022-04-18,Jovem digital
132,47.0,26825.12,5807.74,6.2,931.1,11.3,38.1,Loja física,Centro-Oeste,Premium,2022-03-30,Alto valor
133,44.0,6307.33,801.92,4.8,167.27,7.6,20.4,Aplicativo,Sudeste,Premium,2023-09-05,Tradicional
134,31.0,6177.11,1738.17,11.0,158.1,2.2,25.5,Loja física,Nordeste,Premium,2026-06-04,Jovem digital
135,38.0,8179.15,1029.45,3.6,283.72,5.0,4.0,Aplicativo,Sul,Básico,2023-02-25,Tradicional
136,38.0,4058.86,912.84,5.5,165.41,4.1,23.2,Loja física,Centro-Oeste,VIP,2023-11-08,Jovem digital
137,58.0,17904.19,5074.29,8.5,597.13,9.1,37.0,Site,Sul,Básico,2025-02-02,Alto valor
138,48.0,9366.31,1308.53,6.7,196.62,8.7,26.0,Loja física,Sudeste,Básico,2025-01-04,Tradicional
139,52.0,20040.06,4547.78,7.4,615.75,7.5,27.4,Aplicativo,Sudeste,VIP,2023-03-28,Alto valor
140,36.0,4462.11,1579.98,13.0,121.42,8.6,52.4,Site,Centro-Oeste,Básico,2022-08-01,Jovem digital
141,39.0,6521.45,1019.94,7.6,134.47,7.4,42.8,Aplicativo,Sudeste,Básico,2022-09-19,Tradicional
142,30.0,6093.54,886.03,8.2,107.95,8.6,28.7,Aplicativo,Nordeste,Premium,2023-01-04,Tradicional
143,36.0,27490.1,6122.14,9.4,653.74,6.0,36.1,Site,Sudeste,Premium,2022-05-25,Alto valor
144,41.0,8993.55,1102.43,4.0,273.93,14.4,37.1,Aplicativo,Nordeste,Básico,2024-02-09,Tradicional
145,48.0,6995.08,810.02,5.3,153.94,7.0,18.0,Loja física,Sudeste,Básico,2024-12-15,Tradicional
146,32.0,3296.26,1200.31,6.9,172.83,4.3,25.9,Loja física,Sudeste,Básico,2025-02-02,Jovem digital
147,30.0,4804.5,1445.1,12.0,120.23,3.8,40.3,Site,Sudeste,Básico,2026-02-28,Jovem digital
148,50.0,6411.77,702.05,4.1,170.27,8.1,11.5,Loja física,Sudeste,Básico,2023-05-06,Tradicional
149,60.0,3862.48,395.68,5.9,67.07,5.8,26.0,Loja física,Nordeste,Básico,2024-12-30,Tradicional
150,26.0,3719.8,1109.35,5.8,191.68,6.4,25.2,Marketplace,Nordeste,VIP,2026-01-19,Jovem digital
151,46.0,7662.24,3859.79,9.7,398.77,3.7,37.9,Aplicativo,Sudeste,Premium,2022-02-17,Alto valor
152,59.0,16825.85,5011.68,8.1,619.33,10.0,26.8,Site,Sul,Premium,2025-07-30,Alto valor
153,35.0,5768.91,1417.81,8.6,163.98,3.6,30.4,Loja física,Sudeste,VIP,2022-05-28,Jovem digital
154,48.0,3776.95,1099.89,5.8,188.18,7.3,37.4,Aplicativo,Nordeste,VIP,2024-07-11,Tradicional
155,30.0,6344.83,1586.2,11.5,138.44,7.5,60.0,Aplicativo,Nordeste,Premium,2025-10-21,Jovem digital
156,47.0,5088.86,874.76,3.3,267.9,13.4,36.2,Aplicativo,Centro-Oeste,Básico,2024-02-07,Tradicional
157,34.0,3182.21,1457.75,13.4,108.62,4.1,35.7,Site,Centro-Oeste,Premium,2024-07-24,Jovem digital
158,47.0,7462.33,950.86,6.8,140.04,7.8,33.3,Site,Sudeste,Básico,2024-11-01,Tradicional
159,55.0,7132.24,737.85,6.1,120.49,7.5,23.5,Loja física,Sudeste,Básico,2024-08-24,Tradicional
160,61.0,7483.87,624.89,6.3,99.45,7.9,30.5,Site,Centro-Oeste,Básico,2025-05-08,Tradicional
161,23.0,5939.9,1165.78,11.7,99.49,3.6,33.3,Loja física,Sudeste,Básico,2025-12-07,Jovem digital
162,56.0,12604.32,4041.61,10.8,373.44,11.1,32.1,Aplicativo,Sudeste,Básico,2022-08-14,Alto valor
163,28.0,5842.69,1168.15,8.8,133.41,4.7,29.2,Loja física,Sudeste,Premium,2023-11-27,Jovem digital
164,26.0,5294.63,905.34,7.7,117.99,10.8,41.8,Loja física,Nordeste,Básico,2025-11-26,Jovem digital
165,51.0,5424.41,377.35,4.3,87.88,9.5,26.6,Aplicativo,Nordeste,Básico,2023-09-30,Tradicional
166,24.0,4191.11,1381.8,13.3,103.69,3.0,46.8,Aplicativo,Norte,Básico,2024-03-29,Jovem digital
167,61.0,12049.13,4228.9,6.6,637.48,8.9,32.3,Aplicativo,Sudeste,Premium,2025-05-25,Alto valor
168,50.0,12571.12,4340.42,7.7,564.44,6.7,34.4,Marketplace,Sudeste,Básico,2026-04-13,Alto valor
169,34.0,3341.38,1345.25,10.9,123.49,8.5,47.1,Aplicativo,Sudeste,Básico,2023-02-25,Jovem digital
170,42.0,14735.08,4604.53,8.0,574.8,3.8,26.4,Aplicativo,Nordeste,Premium,2026-05-17,Alto valor
171,33.0,3830.16,1482.79,10.5,141.69,3.4,36.1,Aplicativo,Sudeste,Premium,2025-04-01,Jovem digital
172,39.0,7755.44,689.94,4.8,142.5,5.9,35.5,Aplicativo,Norte,Básico,2022-02-21,Tradicional
173,22.0,6298.18,1904.31,10.6,179.5,6.7,41.0,Site,Sul,Premium,2025-12-11,Jovem digital
174,45.0,16464.98,4400.31,12.8,344.17,10.8,51.6,Loja física,Nordeste,Básico,2023-10-05,Alto valor
175,18.0,6021.46,1407.8,8.9,157.6,7.8,37.0,Site,Nordeste,VIP,2023-04-17,Jovem digital
176,24.0,4527.5,1233.15,8.6,143.0,6.6,32.1,Loja física,Sul,Premium,2024-05-29,Jovem digital
177,48.0,4803.33,589.95,3.7,157.75,8.0,17.4,Aplicativo,Nordeste,Premium,2024-08-21,Tradicional
178,39.0,13102.86,3691.77,8.2,448.16,9.0,37.2,Site,Sudeste,Básico,2024-06-21,Alto valor
179,47.0,14904.78,4282.43,6.7,640.27,5.5,22.6,Loja física,Nordeste,Premium,2022-04-03,Alto valor
180,55.0,5654.71,752.18,5.9,128.07,4.9,22.4,Loja física,Nordeste,Básico,2025-10-07,Tradicional
181,52.0,24756.79,4907.39,9.0,544.22,9.7,32.4,Loja física,Sul,Básico,2023-07-26,Alto valor
182,52.0,22255.0,5617.53,7.6,743.37,6.4,31.3,Aplicativo,Sudeste,Premium,2022-08-24,Alto valor
183,38.0,4162.6,369.21,5.3,70.27,7.0,28.8,Site,Norte,Premium,2024-08-04,Tradicional
184,26.0,6021.89,954.93,6.2,153.39,5.9,24.0,Loja física,Norte,Básico,2024-11-06,Jovem digital
185,36.0,6377.69,1017.99,4.3,234.47,7.4,5.8,Aplicativo,Sul,Premium,2022-06-23,Tradicional
186,52.0,7541.22,942.34,5.3,179.08,10.9,33.5,Loja física,Norte,Básico,2026-04-26,Tradicional
187,23.0,5339.35,1495.22,8.2,181.9,7.1,34.2,Aplicativo,Sul,Premium,2024-10-01,Jovem digital
188,33.0,4455.44,1480.87,10.6,140.24,6.9,32.0,Aplicativo,Sudeste,Básico,2026-07-25,Jovem digital
189,21.0,7116.95,818.14,4.8,170.59,4.0,25.4,Loja física,Sul,Básico,2025-01-26,Tradicional
190,31.0,4112.99,1177.65,8.1,144.51,6.4,21.0,Loja física,Sudeste,VIP,2022-01-17,Jovem digital
191,49.0,15561.95,4717.63,8.3,566.76,7.1,41.8,Marketplace,Sul,Básico,2022-12-15,Alto valor
192,22.0,4411.79,1245.94,14.2,87.59,4.6,47.8,Marketplace,Nordeste,VIP,2026-06-15,Jovem digital
193,28.0,3565.05,1090.91,10.1,108.3,11.9,26.3,Aplicativo,Sudeste,Básico,2024-07-24,Jovem digital
194,48.0,27038.24,5131.24,5.5,937.87,8.7,28.2,Site,Sudeste,Premium,2022-07-24,Alto valor
195,20.0,6812.52,1529.23,9.8,155.34,6.0,33.5,Marketplace,Nordeste,Básico,2022-05-05,Jovem digital
196,25.0,3224.08,1825.53,10.4,175.33,3.9,31.4,Aplicativo,Nordeste,Premium,2024-06-16,Jovem digital
197,55.0,5032.52,624.57,6.2,101.3,11.5,26.4,Site,Norte,VIP,2024-09-20,Tradicional
198,37.0,20786.29,5723.89,10.3,554.63,8.6,40.3,Marketplace,Sudeste,Premium,2023-02-16,Alto valor
199,25.0,4008.38,1593.64,12.9,123.78,7.2,43.4,Aplicativo,Centro-Oeste,Básico,2022-11-22,Jovem digital
200,25.0,2669.11,1534.42,11.3,135.97,6.0,26.2,Marketplace,Sudeste,Premium,2024-10-10,Jovem digital
201,34.0,7872.93,1039.89,5.6,185.8,9.0,37.8,Site,Sudeste,Premium,2023-12-30,Tradicional
202,55.0,12010.98,3085.83,4.8,647.46,12.0,26.8,Marketplace,Nordeste,Básico,2022-03-03,Alto valor
203,51.0,5524.55,364.79,3.8,97.26,9.3,16.5,Site,Sudeste,Premium,2022-04-07,Tradicional
204,36.0,5292.47,1826.4,12.9,141.31,6.5,37.6,Loja física,Nordeste,Premium,2023-02-03,Jovem digital
205,30.0,3922.28,1258.11,10.6,118.79,8.1,47.7,Loja física,Sudeste,Premium,2024-08-01,Jovem digital
206,40.0,4907.38,1484.63,9.8,150.87,5.2,25.4,Aplicativo,Sudeste,Básico,2023-05-18,Jovem digital
207,22.0,6400.31,1579.84,9.3,169.02,3.5,33.3,Site,Sul,Básico,2022-01-26,Jovem digital
208,53.0,7295.32,855.84,5.2,165.54,8.7,21.3,Marketplace,Sudeste,VIP,2026-03-11,Tradicional
209,27.0,3573.73,1603.37,9.9,162.35,1.7,27.5,Marketplace,Sudeste,Premium,2025-03-05,Jovem digital
210,43.0,5134.92,883.67,4.1,217.08,9.6,14.9,Marketplace,Sudeste,Básico,2024-09-02,Tradicional
211,49.0,7689.85,950.29,4.5,209.48,6.2,16.1,Site,Sudeste,VIP,2023-02-13,Tradicional
212,39.0,6012.96,1011.64,6.7,149.97,6.1,27.6,Site,Nordeste,Básico,2025-03-30,Tradicional
213,22.0,3305.33,1726.84,11.3,153.2,4.7,41.3,Site,Sudeste,Básico,2026-05-02,Jovem digital
214,36.0,16397.3,3751.42,5.2,714.84,6.9,17.7,Site,Sul,Premium,2025-02-04,Alto valor
215,41.0,5729.62,718.19,4.0,177.81,6.6,19.4,Site,Sul,Premium,2023-05-10,Tradicional
216,40.0,4191.53,874.22,6.4,136.52,7.1,34.9,Aplicativo,Sul,VIP,2023-10-18,Tradicional
217,31.0,2728.3,1480.55,11.7,126.03,6.1,29.3,Aplicativo,Sul,Premium,2026-04-03,Jovem digital
218,22.0,4210.8,1788.24,10.7,166.98,4.1,37.0,Site,Nordeste,Básico,2022-01-24,Jovem digital
219,62.0,8806.2,3337.74,13.0,256.99,8.2,41.2,Aplicativo,Centro-Oeste,Básico,2023-01-05,Alto valor
220,32.0,5511.43,1452.63,8.5,170.68,8.8,27.7,Aplicativo,Sudeste,Básico,2022-06-28,Jovem digital
221,26.0,4905.21,1758.1,11.6,151.87,0.8,37.8,Aplicativo,Nordeste,VIP,2024-12-08,Jovem digital
222,45.0,6180.75,978.19,7.0,140.28,7.4,25.4,Loja física,Sudeste,Básico,2024-02-07,Tradicional
223,50.0,5325.07,551.02,3.1,176.69,7.4,8.5,Marketplace,Sul,Básico,2022-08-11,Tradicional
224,45.0,19290.91,4918.54,10.0,494.23,8.8,51.0,Site,Sul,Básico,2026-04-23,Alto valor
225,34.0,6161.1,1416.62,11.6,122.03,3.3,46.1,Marketplace,Sudeste,Básico,2024-07-11,Jovem digital
226,60.0,14709.96,3961.43,8.3,480.04,8.6,19.6,Marketplace,Sudeste,Básico,2023-02-20,Alto valor
227,23.0,2783.94,1218.21,12.6,96.82,5.0,31.9,Aplicativo,Sudeste,Premium,2026-05-01,Jovem digital
228,68.0,4692.57,693.07,2.7,253.25,13.2,28.8,Aplicativo,Sudeste,Básico,2025-03-13,Tradicional
229,56.0,6627.18,524.01,6.0,86.9,10.0,27.8,Aplicativo,Sul,VIP,2022-08-06,Tradicional
230,24.0,3109.53,1031.55,6.3,164.72,2.6,33.9,Aplicativo,Sudeste,VIP,2025-10-14,Jovem digital
